Gene	Chromosome	Start	End	Strand
AIG1	chr6	143060496	143341058	+
AIM2	chr1	159062484	159140508	-
AIMP1	chr4	106315544	106349456	+
AIMP2	chr7	6009255	6023834	+
AIP	chr11	67483026	67491103	+
AIPL1	chr17	6393693	6435199	-
AIRE	chr21	44285876	44298648	+
AJAP1	chr1	4654609	4792534	+
AJM1	chr9	136844415	136848801	+
AJUBA	chr14	22971177	22982551	-
AK1	chr9	127866486	127877675	-
AK2	chr1	33007940	33037004	-
AK3	chr9	4709556	4742043	-
AK4	chr1	65147549	65232145	+
AK5	chr1	77282019	77559966	+
AK6	chr5	69350984	69370013	-
AK7	chr14	96392128	96489427	+
AK8	chr9	132725578	132878284	-
AK9	chr6	109492856	109691217	-
AKAIN1	chr18	5142911	5197503	-
AKAP1	chr17	57085092	57121344	+
AKAP10	chr17	19904302	19977828	-
AKAP11	chr13	42272152	42323261	+
AKAP12	chr6	151239967	151358559	+
AKAP13	chr15	85380587	85749358	+
AKAP14	chrX	119895837	119920716	+
AKAP17A	chrX	1591604	1602520	+
AKAP3	chr12	4615508	4649051	-
AKAP4	chrX	50190777	50201007	-
AKAP5	chr14	64465499	64474503	+
AKAP6	chr14	32329298	32837684	+
AKAP7	chr6	131135467	131283535	+
AKAP8	chr19	15353385	15379787	-
AKAP8L	chr19	15380050	15419141	-
AKAP9	chr7	91940862	92110673	+
AKIP1	chr11	8911139	8920084	+
AKIRIN1	chr1	38991276	39006059	+
AKIRIN2	chr6	87674860	87702233	-
AKNA	chr9	114334156	114394405	-
AKNAD1	chr1	108815901	108963484	-
AKR1A1	chr1	45550543	45570049	+
AKR1B1	chr7	134442356	134459100	-
AKR1B10	chr7	134527567	134541412	+
AKR1B15	chr7	134549110	134579875	+
AKR1C1	chr10	4963415	4983283	+
AKR1C2	chr10	4987400	5017955	-
AKR1C3	chr10	5048789	5107686	+
AKR1C4	chr10	5195463	5218949	+
AKR1C8P	chr10	5154140	5185181	-
AKR1D1	chr7	138076432	138118305	+
AKR1E2	chr10	4786629	4848062	+
AKR7A2	chr1	19303965	19312146	-
AKR7A3	chr1	19282573	19288770	-
AKR7L	chr1	19267130	19274151	-
AKT1	chr14	104769349	104795751	-
AKT1S1	chr19	49869033	49878459	-
AKT2	chr19	40230317	40285536	-
AKT3	chr1	243488233	243851079	-
AKTIP	chr16	53491040	53504411	-
AL021546.1	chr12	120438198	120460006	+
AL021997.3	chr6	28267121	28281580	+
AL022312.1	chr22	39504231	39504443	+
AL022318.4	chr22	39014363	39033276	+
AL031178.1	chr6	53041266	53041385	-
AL031315.1	chr6	169419969	169702047	-
AL031681.3	chr20	43458054	43541881	+
AL031777.2	chr6	26196040	26199293	-
AL034430.1	chr20	10413520	10431922	-
AL034430.2	chr20	10420546	10420737	-
AL035078.4	chr11	31812391	32104665	+
AL035425.2	chrX	108722070	108732687	-
AL035460.1	chr20	2814968	2818066	+
AL035461.3	chr20	5950949	6039856	+
AL035699.1	chr6	133953304	133980088	+
AL049569.3	chr1	17005068	17011757	-
AL049629.2	chr11	33698261	33722456	-
AL049634.2	chr20	1540144	1620009	-
AL096814.1	chr6	42155406	42163439	+
AL109811.3	chr1	11022144	11030526	+
AL110118.2	chr14	93184993	93212127	+
AL117348.2	chr1	225886696	225924278	-
AL121758.1	chr20	646626	675800	-
AL121845.2	chr20	63738270	63740398	+
AL121845.3	chr20	63733219	63738481	+
AL121899.2	chr20	2207328	2341059	+
AL121900.1	chr20	18567453	18744216	+
AL132671.2	chr6	117318211	117573571	-
AL132780.3	chr14	22946270	22982258	-
AL133500.1	chrX	72301811	72572843	-
AL135905.2	chr6	63572472	63583587	+
AL136295.1	chr14	24189157	24213473	-
AL136295.3	chr14	24120956	24131829	+
AL138899.3	chr1	158127287	158128301	-
AL139011.2	chr1	160240142	160282458	-
AL139260.3	chr1	38864529	38881602	-
AL139300.1	chr14	103562962	103685924	+
AL139353.1	chr14	31400279	31457407	-
AL157392.5	chr10	13610047	13655929	+
AL158151.3	chr9	129139413	129210562	+
AL159163.1	chr6	166858094	166956124	-
AL160272.2	chr9	117704390	117877478	+
AL162231.1	chr9	34664163	34666112	-
AL162231.3	chr9	34646645	34657113	+
AL162417.1	chr9	133098121	133163914	-
AL162596.1	chr1	152859996	152860985	+
AL163195.3	chr14	20584340	20609795	-
AL163636.2	chr14	20684587	20700576	+
AL353572.3	chr9	87956214	87956883	+
AL353579.1	chr6	37212181	37257637	-
AL354761.1	chr9	135614183	135619893	+
AL355102.2	chr14	96204844	96263929	+
AL355315.1	chr10	97584374	97673910	+
AL355916.3	chr14	61529128	61657964	+
AL357075.4	chr6	154159828	154510114	-
AL358113.1	chr9	69035750	69255187	+
AL359092.3	chr9	130713626	130713724	+
AL365214.2	chr6	112236806	112350094	+
AL391650.1	chr1	26169516	26171831	-
AL391987.1	chr9	61861848	61862567	-
AL391987.2	chr9	61861625	61863200	+
AL441992.2	chr9	128819663	128881931	-
AL445238.1	chr13	63832361	63833531	-
AL445524.2	chr1	231363797	231528603	-
AL445989.1	chr13	63746741	63748176	+
AL451007.3	chr1	244729898	244730962	-
AL512428.1	chr6	24797373	24809798	-
AL512785.2	chr1	162365407	162383377	+
AL590132.1	chr1	210858125	211134146	-
AL592490.1	chr13	61409858	61427849	-
AL603764.2	chr10	122672850	122679494	+
AL603832.3	chr1	112702648	112711355	-
AL627230.1	chr9	67725914	67726255	+
AL627230.3	chr9	67718236	67718955	+
AL645922.1	chr6	31927698	31952048	+
AL645941.2	chr6	32937364	32953122	-
AL662884.4	chr6	32150495	32154373	-
AL662899.2	chr6	31666102	31673546	+
AL669918.1	chr6	32813767	32838822	-
AL672142.1	chr9	128941478	128957021	+
AL691442.2	chr1	155063748	155086807	+
AL713999.1	chr1	155169409	155187272	-
AL772284.2	chrX	119073226	119076373	+
AL845331.1	chr2	94588522	94604573	+
AL929554.2	chr9	137168854	137171984	-
ALAD	chr9	113386312	113401290	-
ALAS1	chr3	52198086	52214327	+
ALAS2	chrX	55009055	55030977	-
ALB	chr4	73397114	73421482	+
ALCAM	chr3	105366909	105576900	+
ALDH16A1	chr19	49453225	49471050	+
ALDH18A1	chr10	95605941	95656711	-
ALDH1A1	chr9	72900671	73080442	-
ALDH1A2	chr15	57953424	58473913	-
ALDH1A3	chr15	100877714	100916626	+
ALDH1B1	chr9	38392702	38398661	+
ALDH1L1	chr3	126103562	126197994	-
ALDH1L2	chr12	105019790	105107643	-
ALDH2	chr12	111766887	111817532	+
ALDH3A1	chr17	19737984	19748943	-
ALDH3A2	chr17	19648136	19685760	+
ALDH3B1	chr11	68008578	68029276	+
ALDH3B2	chr11	67662160	67681224	-
ALDH4A1	chr1	18871430	18902724	-
ALDH5A1	chr6	24494867	24537207	+
ALDH6A1	chr14	74056847	74084453	-
ALDH7A1	chr5	126531200	126595336	-
ALDH8A1	chr6	134917393	134950115	-
ALDH9A1	chr1	165662216	165698863	-
ALDOA	chr16	30064172	30070417	+
ALDOB	chr9	101420560	101449664	-
ALDOC	chr17	28573115	28576948	-
ALG1	chr16	5033960	5087379	+
ALG10	chr12	34022468	34029694	+
ALG10B	chr12	38316762	38329721	+
ALG11	chr13	52012398	52033600	+
ALG12	chr22	49900229	49918438	-
ALG13	chrX	111681118	111760649	+
ALG14	chr1	94974405	95072951	-
ALG1L	chr3	125929275	125937039	-
ALG1L2	chr3	130081831	130098390	+
ALG2	chr9	99216425	99221942	-
ALG3	chr3	184242301	184249548	-
ALG5	chr13	36949738	36999367	-
ALG6	chr1	63367627	63438553	+
ALG8	chr11	78100936	78139653	-
ALG9	chr11	111782195	111871581	-
ALK	chr2	29192774	29921586	-
ALKAL1	chr8	52534037	52565430	-
ALKAL2	chr2	279558	288851	-
ALKBH1	chr14	77672404	77708023	-
ALKBH2	chr12	109088188	109093488	-
ALKBH3	chr11	43880831	43920274	+
ALKBH4	chr7	102456238	102464863	-
ALKBH5	chr17	18183078	18209954	+
ALKBH6	chr19	36009124	36014239	-
ALKBH7	chr19	6372794	6375250	+
ALKBH8	chr11	107502727	107565742	-
ALLC	chr2	3658200	3702671	+
ALMS1	chr2	73385758	73609916	+
ALOX12	chr17	6996049	7010754	+
ALOX12B	chr17	8072636	8087716	-
ALOX15	chr17	4630919	4642294	-
ALOX15B	chr17	8039034	8049134	+
ALOX5	chr10	45374176	45446119	+
ALOX5AP	chr13	30713478	30764426	+
ALOXE3	chr17	8095900	8119047	-
ALPG	chr2	232406844	232410714	+
ALPI	chr2	232456153	232460753	+
ALPK1	chr4	112297343	112442621	+
ALPK2	chr18	58481247	58629091	-
ALPK3	chr15	84817356	84873479	+
ALPL	chr1	21509423	21578410	+
ALPP	chr2	232378751	232382889	+
ALS2	chr2	201700267	201780956	-
ALS2CL	chr3	46668995	46693679	-
ALX1	chr12	85280220	85301784	+
ALX3	chr1	110059870	110070672	-
ALX4	chr11	44260440	44310139	-
ALYREF	chr17	81887835	81891586	-
AMACR	chr5	33986165	34008104	-
AMBN	chr4	70592256	70607288	+
AMBP	chr9	114060127	114078300	-
AMBRA1	chr11	46396414	46594125	-
AMD1	chr6	110874784	110898879	+
AMDHD1	chr12	95943331	95968720	+
AMDHD2	chr16	2520357	2531422	+
AMELX	chrX	11293413	11300761	+
AMELY	chrY	6865918	6911774	-
AMER1	chrX	64185117	64205708	-
AMER2	chr13	25161684	25172288	-
AMER3	chr2	130755540	130768134	+
AMFR	chr16	56361452	56425545	-
AMH	chr19	2249323	2252073	+
AMHR2	chr12	53423855	53431672	+
AMIGO1	chr1	109504178	109509738	-
AMIGO2	chr12	47075707	47079951	-
AMIGO3	chr3	49716829	49719684	-
AMMECR1	chrX	110194186	110440233	-
AMMECR1L	chr2	127861630	127885956	-
AMN	chr14	102922663	102930842	+
AMN1	chr12	31671142	31729121	-
AMOT	chrX	112774503	112840815	-
AMOTL1	chr11	94706431	94876748	+
AMOTL2	chr3	134355874	134375479	-
AMPD1	chr1	114673098	114695618	-
AMPD2	chr1	109616104	109632053	+
AMPD3	chr11	10317671	10507579	+
AMPH	chr7	38383704	38631420	-
AMT	chr3	49416778	49422685	-
AMTN	chr4	70518569	70532743	+
AMY1A	chr1	103655290	103664554	+
AMY1B	chr1	103687415	103696680	-
AMY1C	chr1	103750406	103758690	+
AMY2A	chr1	103616811	103625780	+
AMY2B	chr1	103554700	103579530	+
AMZ1	chr7	2679522	2716529	+
AMZ2	chr17	68206076	68257712	+
ANAPC1	chr2	111766271	111884193	-
ANAPC10	chr4	144994575	145098541	-
ANAPC11	chr17	81890790	81900991	+
ANAPC13	chr3	134477706	134486716	-
ANAPC15	chr11	72106378	72112780	-
ANAPC16	chr10	72216000	72235860	+
ANAPC2	chr9	137174784	137188560	-
ANAPC4	chr4	25377263	25418498	+
ANAPC5	chr12	121308245	121399896	-
ANAPC7	chr12	110372900	110403730	-
ANG	chr14	20684177	20694186	+
ANGEL1	chr14	76786009	76826246	-
ANGEL2	chr1	212992182	213015867	-
ANGPT1	chr8	107249482	107498055	-
ANGPT2	chr8	6499632	6563409	-
ANGPT4	chr20	869900	916334	-
ANGPTL1	chr1	178849535	178871077	-
ANGPTL2	chr9	127087348	127122635	-
ANGPTL3	chr1	62597520	62606313	+
ANGPTL4	chr19	8363289	8374370	+
ANGPTL5	chr11	101890674	101916522	-
ANGPTL6	chr19	10092338	10102796	-
ANGPTL7	chr1	11189355	11195981	+
ANGPTL8	chr19	11237450	11241943	+
ANHX	chr12	133218312	133235877	-
ANK1	chr8	41653220	41896762	-
ANK2	chr4	112818032	113384221	+
ANK3	chr10	60026298	60733490	-
ANKAR	chr2	189675985	189746649	+
ANKDD1A	chr15	64911902	64958691	+
ANKDD1B	chr5	75611182	75672208	+
ANKEF1	chr20	10034987	10058303	+
ANKFN1	chr17	55882301	56511659	+
ANKFY1	chr17	4163821	4263979	-
ANKH	chr5	14704800	14871778	-
ANKHD1	chr5	140401814	140539856	+
ANKHD1-EIF4EBP3	chr5	140401908	140549569	+
ANKIB1	chr7	92245974	92401383	+
ANKK1	chr11	113387779	113400416	+
ANKLE1	chr19	17281645	17287646	+
ANKLE2	chr12	132725503	132761832	-
ANKMY1	chr2	240479422	240569177	-
ANKMY2	chr7	16599779	16645817	-
ANKRA2	chr5	73552190	73565639	-
ANKRD1	chr10	90912096	90921087	-
ANKRD10	chr13	110878540	110915069	-
ANKRD11	chr16	89267630	89490561	-
ANKRD12	chr18	9136228	9285985	+
ANKRD13A	chr12	109999430	110039763	+
ANKRD13B	chr17	29589769	29614761	+
ANKRD13C	chr1	70258999	70354734	-
ANKRD13D	chr11	67289303	67302484	+
ANKRD16	chr10	5861616	5889906	-
ANKRD17	chr4	73073376	73258798	-
ANKRD18A	chr9	38571358	38620596	-
ANKRD18B	chr9	33524394	33573009	+
ANKRD2	chr10	97572499	97583884	+
ANKRD20A1	chr9	67859147	67920552	+
ANKRD20A2P	chr9	40223317	40266845	+
ANKRD20A3P	chr9	66109394	66179474	-
ANKRD20A4P	chr9	64369394	64413142	+
ANKRD22	chr10	88819896	88851844	-
ANKRD23	chr2	96837912	96844021	-
ANKRD24	chr19	4183354	4224814	+
ANKRD26	chr10	26991914	27100494	-
ANKRD27	chr19	32597006	32676597	-
ANKRD28	chr3	15667236	15859771	-
ANKRD29	chr18	23598926	23662911	-
ANKRD30A	chr10	37125725	37384111	+
ANKRD30B	chr18	14748240	14854038	+
ANKRD30BL	chr2	132147907	132161955	-
ANKRD31	chr5	75068297	75236878	-
ANKRD33	chr12	51888103	51891727	+
ANKRD33B	chr5	10564070	10657816	+
ANKRD34A	chr1	145959441	145964575	-
ANKRD34B	chr5	80556755	80570280	-
ANKRD34C	chr15	79293285	79298235	+
ANKRD35	chr1	145866560	145885866	-
ANKRD36	chr2	97113153	97264521	+
ANKRD36B	chr2	97492663	97589965	-
ANKRD36C	chr2	95836919	95991831	-
ANKRD37	chr4	185396045	185400241	+
ANKRD39	chr2	96847990	96858016	-
ANKRD40	chr17	50693198	50707914	-
ANKRD40CL	chr17	50761030	50767557	-
ANKRD42	chr11	83193712	83256099	+
ANKRD44	chr2	196967017	197311173	-
ANKRD45	chr1	173608336	173669851	-
ANKRD46	chr8	100509752	100559784	-
ANKRD49	chr11	94493979	94499578	+
ANKRD50	chr4	124664048	124712732	-
ANKRD52	chr12	56237807	56258384	-
ANKRD53	chr2	70978380	70985499	+
ANKRD54	chr22	37830855	37849327	-
ANKRD55	chr5	56099680	56233330	-
ANKRD6	chr6	89433152	89633834	+
ANKRD60	chr20	58218495	58228653	-
ANKRD61	chr7	6031376	6036552	+
ANKRD62	chr18	12093843	12129764	+
ANKRD63	chr15	40281444	40282586	-
ANKRD65	chr1	1418420	1421769	-
ANKRD66	chr6	46746917	46759506	+
ANKRD7	chr7	118214673	118242732	+
ANKRD9	chr14	102501767	102509799	-
ANKS1A	chr6	34889255	35091406	+
ANKS1B	chr12	98734684	99984654	-
ANKS3	chr16	4696510	4734377	-
ANKS4B	chr16	21233699	21253850	+
ANKS6	chr9	98731329	98796965	-
ANKUB1	chr3	149761100	149792554	-
ANKZF1	chr2	219229783	219236679	+
ANLN	chr7	36389821	36453791	+
ANO1	chr11	70078302	70189528	+
ANO10	chr3	43365848	43691594	-
ANO2	chr12	5562651	5946232	-
ANO3	chr11	26188842	26663289	+
ANO4	chr12	100717526	101128641	+
ANO5	chr11	22193085	22283357	+
ANO6	chr12	45216020	45440404	+
ANO7	chr2	241188509	241225376	+
ANO8	chr19	17323223	17334855	-
ANO9	chr11	417938	442011	-
ANOS1	chrX	8528874	8732137	-
ANP32A	chr15	68778535	68820895	-
ANP32B	chr9	97983341	98015943	+
ANP32D	chr12	48472559	48473622	+
ANP32E	chr1	150218417	150236156	-
ANPEP	chr15	89784895	89815401	-
ANTKMT	chr16	721097	722590	+
ANTXR1	chr2	69013178	69249327	+
ANTXR2	chr4	79901146	80073472	-
ANTXRL	chr10	46286345	46330129	+
ANXA1	chr9	73151865	73170393	+
ANXA10	chr4	168092537	168187736	+
ANXA11	chr10	80150889	80205572	-
ANXA13	chr8	123680794	123737402	-
ANXA2	chr15	60347134	60402883	-
ANXA2R	chr5	43039081	43043170	-
ANXA3	chr4	78551747	78610447	+
ANXA4	chr2	69741974	69827112	+
ANXA5	chr4	121667946	121696980	-
ANXA6	chr5	151100706	151157779	-
ANXA7	chr10	73375101	73414067	-
ANXA8	chr10	47460162	47484158	-
ANXA8L1	chr10	46375627	46391784	+
ANXA9	chr1	150982292	150995634	+
AOAH	chr7	36512941	36724549	-
AOC1	chr7	150824627	150861504	+
AOC2	chr17	42844580	42850707	+
AOC3	chr17	42851184	42858130	+
AOPEP	chr9	94726701	95087218	+
AOX1	chr2	200586014	200677064	+
AP000295.1	chr21	33246774	33283212	+
AP000311.1	chr21	33584687	33931607	-
AP000350.4	chr22	23862188	23895223	+
AP000471.1	chr21	46326288	46326491	+
AP000552.4	chr22	21360601	21361299	-
AP000721.1	chr11	63974620	63988346	+
AP000781.2	chr11	57389010	57410113	-
AP000812.4	chr11	72105924	72109329	+
AP000812.5	chr11	72080331	72110777	+
AP001054.1	chr21	43939919	43959673	+
AP001267.5	chr11	118401602	118482737	+
AP001273.2	chr11	93741664	93812378	+
AP001453.4	chr11	64241095	64244132	+
AP001458.2	chr11	62649694	62665178	-
AP001781.2	chr11	111786286	111879425	-
AP002495.1	chr11	71865509	71928654	-
AP002512.3	chr11	56459221	56473352	-
AP002748.5	chr11	66509079	66533613	+
AP003108.2	chr11	61430056	61481842	+
AP003419.1	chr11	67351572	67373584	-
AP1AR	chr4	112231787	112273110	+
AP1B1	chr22	29327682	29423179	-
AP1G1	chr16	71729000	71809201	-
AP1G2	chr14	23559565	23568070	-
AP1M1	chr19	16197854	16245906	+
AP1M2	chr19	10572671	10587315	-
AP1S1	chr7	101154476	101161276	+
AP1S2	chrX	15825806	15854931	-
AP1S3	chr2	223751686	223838027	-
AP2A1	chr19	49767001	49807114	+
AP2A2	chr11	925809	1012245	+
AP2B1	chr17	35578046	35726413	+
AP2M1	chr3	184174689	184184091	+
AP2S1	chr19	46838136	46850846	-
AP3B1	chr5	78002326	78294698	-
AP3B2	chr15	82659281	82709919	-
AP3D1	chr19	2100988	2164468	-
AP3M1	chr10	74120255	74151063	-
AP3M2	chr8	42152946	42171183	+
AP3S1	chr5	115841935	115914081	+
AP3S2	chr15	89830599	89894638	-
AP4B1	chr1	113894194	113905201	-
AP4E1	chr15	50908683	51005895	+
AP4M1	chr7	100101557	100110345	+
AP4S1	chr14	31025106	31130996	+
AP5B1	chr11	65773898	65780976	-
AP5M1	chr14	57268940	57298742	+
AP5S1	chr20	3820524	3828838	+
AP5Z1	chr7	4775623	4794397	+
APAF1	chr12	98645290	98735433	+
APBA1	chr9	69427532	69672371	-
APBA2	chr15	28884483	29118315	+
APBA3	chr19	3750772	3761692	-
APBB1	chr11	6395124	6419414	-
APBB1IP	chr10	26438341	26567803	+
APBB2	chr4	40810027	41214618	-
APBB3	chr5	140558269	140564689	-
APC	chr5	112707498	112846239	+
APC2	chr19	1446302	1473244	+
APCDD1	chr18	10454635	10489949	+
APCDD1L	chr20	58459101	58515399	-
APCS	chr1	159587826	159588865	+
APEH	chr3	49674014	49683971	+
APELA	chr4	164877178	164897527	+
APEX1	chr14	20455191	20457772	+
APEX2	chrX	55000363	55009057	+
APH1A	chr1	150265399	150269303	-
APH1B	chr15	63276018	63309126	+
API5	chr11	43311963	43344529	+
APIP	chr11	34882295	34916379	-
APLF	chr2	68467585	68655576	+
APLN	chrX	129645259	129654956	-
APLNR	chr11	57233593	57237201	-
APLP1	chr19	35867899	35879792	+
APLP2	chr11	130068147	130144811	+
APMAP	chr20	24962925	24992751	-
APOA1	chr11	116835751	116837622	-
APOA2	chr1	161222292	161223631	-
APOA4	chr11	116820700	116823304	-
APOA5	chr11	116789367	116792420	-
APOB	chr2	21001429	21044073	-
APOBEC1	chr12	7649400	7665908	-
APOBEC2	chr6	41053304	41064511	+
APOBEC3A	chr22	38952751	38992778	+
APOBEC3B	chr22	38982347	38992804	+
APOBEC3C	chr22	39014257	39020352	+
APOBEC3D	chr22	39021113	39033277	+
APOBEC3F	chr22	39040857	39055972	+
APOBEC3G	chr22	39077275	39087743	+
APOBEC3H	chr22	39097224	39104067	+
APOBEC4	chr1	183646275	183653316	-
APOBR	chr16	28494643	28498970	+
APOC1	chr19	44914247	44919346	+
APOC2	chr19	44946035	44949565	+
APOC3	chr11	116829706	116833072	+
APOC4	chr19	44942237	44945496	+
APOC4-APOC2	chr19	44942256	44949370	+
APOD	chr3	195568705	195583940	-
APOE	chr19	44905791	44909393	+
APOF	chr12	56360568	56362857	-
APOH	chr17	66212033	66256525	-
APOL1	chr22	36253071	36267530	+
APOL2	chr22	36226209	36239954	-
APOL3	chr22	36140330	36166177	-
APOL4	chr22	36189129	36204840	-
APOL5	chr22	35717872	35729483	+
APOL6	chr22	35648446	35668404	+
APOLD1	chr12	12725931	12791466	+
APOM	chr6	31652416	31658210	+
APOO	chrX	23833353	23907938	-
APOOL	chrX	85003877	85093316	+
APP	chr21	25880550	26171128	-
APPBP2	chr17	60443158	60526242	-
APPL1	chr3	57227729	57273471	+
APPL2	chr12	105173300	105236174	-
APRT	chr16	88809339	88811928	-
APTX	chr9	32971451	33025118	-
AQP1	chr7	30911853	30925517	+
AQP10	chr1	154321093	154325325	+
AQP11	chr11	77589953	77610356	+
AQP12A	chr2	240691851	240698483	+
AQP12B	chr2	240676418	240682906	-
AQP2	chr12	49950737	49958878	+
AQP3	chr9	33441160	33447593	-
AQP4	chr18	26852043	26865752	-
AQP5	chr12	49961872	49965682	+
AQP6	chr12	49967239	49977139	+
AQP7	chr9	33383179	33402680	-
AQP8	chr16	25215731	25228932	+
AQP9	chr15	58138169	58185911	+
AQR	chr15	34851782	34969742	-
AR	chrX	67544021	67730619	+
ARAF	chrX	47561100	47571920	+
ARAP1	chr11	72685069	72793599	-
ARAP2	chr4	36066004	36244514	-
ARAP3	chr5	141653401	141682230	-
ARC	chr8	142611049	142614479	-
ARCN1	chr11	118572390	118603033	+
AREG	chr4	74445136	74455005	+
AREL1	chr14	74661256	74713087	-
ARF1	chr1	228082660	228099212	+
ARF3	chr12	48935723	48957487	-
ARF4	chr3	57571363	57598220	-
ARF5	chr7	127588403	127591700	+
ARF6	chr14	49893082	49897054	+
ARFGAP1	chr20	63272785	63289790	+
ARFGAP2	chr11	47164299	47177125	-
ARFGAP3	chr22	42796502	42858106	-
ARFGEF1	chr8	67173511	67343781	-
ARFGEF2	chr20	48921711	49036693	+
ARFGEF3	chr6	138161939	138344663	+
ARFIP1	chr4	152779937	152912357	+
ARFIP2	chr11	6474683	6481479	-
ARFRP1	chr20	63698642	63708025	-
ARG1	chr6	131470918	131584332	+
ARG2	chr14	67619920	67651708	+
ARGFX	chr3	121567949	121590622	+
ARGLU1	chr13	106541673	106568137	-
ARHGAP1	chr11	46677080	46700619	-
ARHGAP10	chr4	147732088	148072776	+
ARHGAP11A	chr15	32615144	32639941	+
ARHGAP11B	chr15	30625966	30649529	+
ARHGAP12	chr10	31805398	31928876	-
ARHGAP15	chr2	143091362	143768352	+
ARHGAP17	chr16	24919389	25015666	-
ARHGAP18	chr6	129576132	129710177	-
ARHGAP19	chr10	97222176	97292673	-
ARHGAP20	chr11	110577042	110713189	-
ARHGAP21	chr10	24583609	24723887	-
ARHGAP22	chr10	48446036	48652616	-
ARHGAP23	chr17	38428464	38512385	+
ARHGAP24	chr4	85475150	86002668	+
ARHGAP25	chr2	68734811	68826833	+
ARHGAP26	chr5	142770377	143229011	+
ARHGAP27	chr17	45393902	45434421	-
ARHGAP28	chr18	6729716	6915716	+
ARHGAP29	chr1	94168905	94237633	-
ARHGAP30	chr1	161046946	161069970	-
ARHGAP31	chr3	119294383	119420714	+
ARHGAP32	chr11	128965060	129279324	-
ARHGAP33	chr19	35775515	35788822	+
ARHGAP35	chr19	46860997	47005077	+
ARHGAP36	chrX	131058346	131089885	+
ARHGAP39	chr8	144529179	144605816	-
ARHGAP4	chrX	153907367	153928419	-
ARHGAP40	chr20	38601934	38651035	+
ARHGAP42	chr11	100687288	100993941	+
ARHGAP44	chr17	12789498	12991643	+
ARHGAP45	chr19	1065923	1086628	+
ARHGAP5	chr14	32076114	32159728	+
ARHGAP6	chrX	11117651	11665920	-
ARHGAP8	chr22	44752558	44862788	+
ARHGAP9	chr12	57472264	57488814	-
ARHGDIA	chr17	81867721	81871376	-
ARHGDIB	chr12	14942031	14961728	-
ARHGDIG	chr16	280450	283010	+
ARHGEF1	chr19	41883184	41930150	+
ARHGEF10	chr8	1823926	1958641	+
ARHGEF10L	chr1	17539698	17697869	+
ARHGEF11	chr1	156934840	157045742	-
ARHGEF12	chr11	120336413	120489937	+
ARHGEF15	chr17	8310241	8322514	+
ARHGEF16	chr1	3454665	3481113	+
ARHGEF17	chr11	73308276	73369388	+
ARHGEF18	chr19	7395113	7472484	+
ARHGEF19	chr1	16197854	16212652	-
ARHGEF2	chr1	155946851	156007070	-
ARHGEF25	chr12	57610180	57617245	+
ARHGEF26	chr3	154121003	154257827	+
ARHGEF28	chr5	73626158	73941993	+
ARHGEF3	chr3	56727418	57079308	-
ARHGEF33	chr2	38889841	38975449	+
ARHGEF35	chr7	144186083	144195833	-
ARHGEF37	chr5	149551947	149634968	+
ARHGEF38	chr4	105552620	105680914	+
ARHGEF39	chr9	35659343	35665195	-
ARHGEF4	chr2	130836914	131047263	+
ARHGEF40	chr14	21070273	21090248	+
ARHGEF5	chr7	144355288	144380632	+
ARHGEF6	chrX	136665547	136780932	-
ARHGEF7	chr13	111114619	111305737	+
ARHGEF9	chrX	63634967	63809274	-
ARID1A	chr1	26693236	26782104	+
ARID1B	chr6	156776020	157210779	+
ARID2	chr12	45729706	45908040	+
ARID3A	chr19	926035	975939	+
ARID3B	chr15	74541177	74598131	+
ARID3C	chr9	34621379	34628086	-
ARID4A	chr14	58298504	58373887	+
ARID4B	chr1	235166895	235328219	-
ARID5A	chr2	96536752	96552634	+
ARID5B	chr10	61901684	62096944	+
ARIH1	chr15	72474330	72602987	+
ARIH2	chr3	48918821	48986382	+
ARL1	chr12	101393116	101407772	-
ARL10	chr5	176365487	176401865	+
ARL11	chr13	49628507	49633872	+
ARL13A	chrX	100969708	100990831	+
ARL13B	chr3	93980139	94055678	+
ARL14	chr3	160677160	160678448	+
ARL14EP	chr11	30323104	30338223	+
ARL14EPL	chr5	116032324	116060118	+
ARL15	chr5	53883942	54310582	-
ARL16	chr17	81681174	81683924	-
ARL17A	chr17	46516702	46579691	-
ARL17B	chr17	46274784	46361797	-
ARL2	chr11	65014160	65022184	+
ARL2BP	chr16	57245259	57253635	+
